scenario,inform,requests,gets_offer,accepts_offer,mean_wait,corr_mean_wait,perc_wait,perc_wait_req,bike,car,pt,nP,vot_inf,vot_req,std_perc_wait,std_exp_wait,std_corr_wait,std_perc_wait_req,cons_surplus,pickup_time,match_time,corr_match_time,comm-rate,fare
0.4_2.0,11124.0,657.5333333333333,1.0,657.5333333333333,169.16149908349442,169.16149908349442,208.02334086506372,177.20424941374662,7520.133333333334,2363.4,582.9333333333334,75000.0,22.745132808982717,28.106436780655514,137.6707556076873,141.8547348596521,141.8547348596521,82.59662273410619,486.45117809752827,170.56359107001228,-1.402091986517856,,40,2.0
0.4_2.25,7714.333333333333,431.3999999999999,1.0,431.3999999999999,173.82009153053193,173.82009153053193,213.43079138909445,183.8681634819035,5211.8,1695.4666666666665,375.6666666666667,75000.0,25.318765890693356,30.862896078256174,118.58911397636582,134.53274381421215,134.53274381421215,78.90096172003577,295.6223462919969,175.8207177776279,-2.0006262470959824,,40,2.25
0.4_2.5,5409.666666666667,266.3333333333333,1.0,266.3333333333333,184.1339371434448,184.1339371434448,231.27013850666245,199.80603345383133,3643.0,1253.3333333333333,247.0,75000.0,27.922963899986712,33.895316450879484,116.69940236086218,133.84449843107927,133.84449843107927,78.65862795951917,177.63582066065132,186.3960886581449,-2.2621515147001046,,40,2.5
0.55_0.5,72519.0,1316.8666666666666,0.0,0.0,,1800.0,1742.118697720188,1727.179796076428,53638.06666666667,11223.266666666665,6340.8,75000.0,10.233057905857008,7.621404394651715,141.9995994440831,,0.0,157.0470145075282,185.847745904495,,,,55,0.5
0.55_0.75,61695.333333333336,840.0,0.01550298942061569,13.266666666666666,544.781075043575,1780.5259737544438,1714.7854321524917,1679.8558856023192,45665.06666666667,10027.466666666667,5162.8,75000.0,11.364263342152164,8.745628822498487,177.7821298225856,261.4601115271429,90.0869476416961,208.95768271434372,90.06543349863439,225.0261878766879,319.7548871668871,,55,0.75
0.55_1.0,46793.0,549.4,0.17723752747801344,97.2,577.6636086673766,1583.5490711839884,1540.4729688014766,1452.7037361920472,34418.8,8167.600000000001,3657.1999999999994,75000.0,13.182317798915378,10.792560581920698,261.08985275541585,282.1665382850037,470.9464660829419,284.6063880152779,52.720330624771655,279.4109954284292,298.25261323894733,,55,1.0
0.55_1.25,33426.0,421.3333333333333,0.5995553143243378,251.66666666666666,596.3184417312083,1077.9626882019745,1285.1931696119507,1104.4033739614763,24330.533333333336,6253.733333333334,2420.3999999999996,75000.0,15.365395121502102,13.6316102972202,348.5130564194812,314.02613978309074,620.2943527985948,339.4802401212315,46.98345633716904,372.457525531847,223.8609161993613,,55,1.25
0.55_1.5,23290.666666666668,510.93333333333334,0.8719758710756937,445.1333333333334,530.4155551483732,690.7833584707579,811.5631457306872,658.9805859414973,16628.533333333336,4646.599999999999,1504.6000000000001,75000.0,17.73057455028012,17.862273060499184,321.47996668640377,314.9398335750541,503.224374018039,250.3359610227558,95.82046154355744,401.7398499583387,128.67570519003448,,55,1.5
0.55_1.75,16084.333333333334,481.93333333333334,0.984931466788506,475.26666666666665,337.8350407385312,358.0434735232789,603.4108702413167,439.3522254801415,11299.733333333332,3361.0,941.6666666666666,75000.0,20.210242701334842,22.407049623726436,349.0449282267926,242.76955055386134,276.32472038918326,219.10454073620392,160.0608013009493,318.05147346463053,19.783567273900598,,55,1.75
0.55_2.0,11124.0,441.6666666666667,0.997324613061136,440.4666666666667,278.20712862792124,282.182742006637,385.09527986580315,305.3401713985918,7658.533333333333,2432.933333333333,590.8666666666667,75000.0,22.745132808982717,26.660564437800115,218.48631639076748,221.01245229781594,231.8332878625629,141.65456893493726,211.73576366196073,273.2169216940657,4.990206933855508,,55,2.0
0.55_2.25,7714.333333333333,290.93333333333334,0.9995656894679695,290.8,268.48258945255157,269.10993748836444,379.600031658425,293.94141079469415,5300.066666666667,1737.5333333333335,385.8,75000.0,25.318765890693356,29.419453465008093,236.2875951059974,195.12742461400907,196.86896171693215,123.77962128629774,128.7312324174278,268.73727653114787,-0.25468707859630707,,55,2.25
0.55_2.5,5409.666666666667,187.26666666666665,0.998639455782313,187.0,277.211822596431,279.19800456922013,360.18706984287513,291.90319011627565,3694.0,1281.4,247.0,75000.0,27.922963899986712,32.03729933872723,184.1943267548212,198.0485170133505,203.45242880850378,109.93385845986779,76.65432614403278,276.56610699668505,0.6457155997459001,,55,2.5
0.5_0.5,72519.0,1321.0666666666666,0.003998767014646037,5.2,481.0131578947369,1794.7305487494343,1738.6431808845828,1721.6010700013485,53614.0,11221.266666666668,6362.666666666667,75000.0,10.233057905857008,7.669228841766341,144.636211917683,252.95324593529352,30.540307259447804,162.66337153353751,186.65978511912692,203.7125000000001,277.3006578947368,,50,0.5
0.5_0.75,61695.333333333336,886.6,0.09836001327198922,87.2,529.9493565498248,1675.411931444204,1650.876905270694,1604.8201504206354,45563.4,10042.8,5202.533333333333,75000.0,11.364263342152164,8.88090375444961,207.33743393569742,261.91834166700454,358.6847931064719,229.68278849685396,100.63691528155736,229.2609251239177,300.68843142590714,,50,0.75
0.5_1.0,46793.0,834.4,0.5959481256410649,493.4666666666667,519.9945748034893,1037.3697352783274,1235.2895807977418,1080.6327059822406,34197.6,8096.400000000001,3664.6,75000.0,13.182317798915378,11.702460943145136,342.95637299277104,278.7613117661959,648.4864503976493,333.17575761057316,122.6392112920663,292.6949951674332,227.2995796360561,,50,1.0
0.5_1.25,33426.0,890.0,0.8781257273048685,781.2666666666668,485.65741871024585,644.2554441184419,807.5881430610094,662.2036490586119,23982.13333333333,6180.933333333334,2372.933333333333,75000.0,15.365395121502102,15.565051857989276,333.16306346613953,300.7238372683617,499.05622897146554,268.1111760884657,201.82182262800134,360.1526364998594,125.50478221038652,,50,1.25
0.5_1.5,23290.666666666668,948.6666666666666,0.9980402522104824,946.8666666666667,272.6098491362376,275.5078414673269,468.94232966682466,374.33609121587006,16334.666666666666,4523.333333333333,1484.0,75000.0,17.73057455028012,20.743987830577506,250.94508289423706,224.20220333327336,232.11164854638324,181.86763471339182,442.9144646468263,267.62758023516955,4.982268901068136,,50,1.5
0.5_1.75,16084.333333333334,731.4,0.9994291818451728,731.0,235.4169339811481,236.28918953413208,374.12780005605845,287.9134345293584,11143.533333333335,3284.933333333333,924.4666666666667,75000.0,20.210242701334842,24.078756620203688,249.11961546961894,193.38960983927095,196.1412190934719,152.74681473740517,383.61278963286037,234.23930092860678,1.1776330525413585,,50,1.75
0.5_2.0,11124.0,552.1333333333333,0.9986690865093769,551.4,211.90243133719096,213.91424016961687,284.74234952440196,235.1484600052389,7585.399999999999,2399.933333333334,586.5333333333333,75000.0,22.745132808982717,27.458978995264786,171.45538073722582,175.0691896376015,180.34290920938247,109.1430853535514,339.5324306858972,211.5990818019122,0.30334953527880276,,50,2.0
0.5_2.25,7714.333333333333,356.8666666666666,1.0,356.8666666666666,226.3690951500811,226.3690951500811,297.7840245981011,237.56041675292954,5259.0,1720.2,378.26666666666665,75000.0,25.318765890693356,30.206469571734658,192.78096833903018,168.80988064713156,168.80988064713156,103.9533253489572,200.5643703324338,227.8241285247154,-1.4550333746342348,,50,2.25
0.5_2.5,5409.666666666667,225.0,1.0,225.0,219.09420434848138,219.09420434848138,291.22653699725294,246.51820614600032,3669.066666666667,1266.8,248.79999999999998,75000.0,27.922963899986712,33.12766155178744,141.77193320403998,152.2184707227502,152.2184707227502,96.84236012205089,117.9430569268252,220.57671224164105,-1.4825078931596485,,50,2.5
